"h_team","id","minute","result","X","Y","xG","player","h_a","player_id","situation","year","shotType","match_id","a_team","h_goals","a_goals","date","player_assisted","lastAction"
"Udinese",382743,51,"OwnGoal",0.0329999995231628,0.452999992370605,0,"Simone Iacoponi","a",6989,"OpenPlay",2020,"RightFoot",15463,"Parma Calcio 1913",3,2,2020-10-18 16:00:00,NA,"None"
"Udinese",382728,8,"MissedShots",0.88,0.455,0.0422850102186203,"Juraj Kucka","a",1123,"OpenPlay",2020,"Head",15463,"Parma Calcio 1913",3,2,2020-10-18 16:00:00,"Yann Karamoh","Cross"
"Udinese",411790,10,"MissedShots",0.956999969482422,0.585999984741211,0.432786911725998,"Ciro Immobile","a",1209,"OpenPlay",2020,"RightFoot",15700,"Lazio",0,1,2021-03-21 14:00:00,NA,"Rebound"
"Udinese",388116,65,"BlockedShot",0.848000030517578,0.479000015258789,0.0785293430089951,"Goran Pandev","a",1115,"OpenPlay",2020,"RightFoot",15504,"Genoa",1,0,2020-11-22 17:00:00,"Lukas Lerager","Pass"
"Udinese",398313,57,"SavedShot",0.891999969482422,0.62,0.353252619504929,"Kevin Lasagna","h",1903,"OpenPlay",2020,"LeftFoot",15594,"Napoli",1,2,2021-01-10 14:00:00,"Rodrigo de Paul","Pass"
"Udinese",411792,19,"MissedShots",0.905999984741211,0.510999984741211,0.106497295200825,"Ciro Immobile","a",1209,"OpenPlay",2020,"Head",15700,"Lazio",0,1,2021-03-21 14:00:00,"Stefan Radu","Cross"
"Udinese",411799,37,"BlockedShot",0.841999969482422,0.385999984741211,0.0787008702754974,"Ciro Immobile","a",1209,"OpenPlay",2020,"RightFoot",15700,"Lazio",0,1,2021-03-21 14:00:00,"Manuel Lazzari","Pass"
"Udinese",395282,31,"BlockedShot",0.796999969482422,0.287999992370605,0.0621507316827774,"Kevin Lasagna","h",1903,"DirectFreekick",2020,"LeftFoot",15564,"Benevento",0,2,2020-12-23 19:45:00,NA,"Standard"
"Udinese",419273,26,"MissedShots",0.945999984741211,0.527999992370605,0.434004455804825,"Weston McKennie","a",5360,"FromCorner",2020,"Head",15762,"Juventus",1,2,2021-05-02 16:00:00,"Juan Cuadrado","Cross"
"Udinese",403693,23,"SavedShot",0.894000015258789,0.57,0.0543262362480164,"Samir","h",1142,"SetPiece",2020,"Head",15635,"Verona",2,0,2021-02-07 14:00:00,"Roberto Pereyra","Cross"
"Udinese",403695,31,"SavedShot",0.975999984741211,0.332000007629395,0.0555765368044376,"Gerard Deulofeu","h",591,"OpenPlay",2020,"RightFoot",15635,"Verona",2,0,2021-02-07 14:00:00,"Fernando Llorente","Chipped"
"Udinese",407193,62,"SavedShot",0.900999984741211,0.61,0.125148743391037,"Dusan Vlahovic","a",7084,"OpenPlay",2020,"LeftFoot",15659,"Fiorentina",1,0,2021-02-28 14:00:00,"Franck Ribéry","Throughball"
"Udinese",392574,28,"BlockedShot",0.738000030517578,0.295,0.0387834645807743,"Rodrigo de Paul","h",1145,"DirectFreekick",2020,"RightFoot",15544,"Crotone",0,0,2020-12-15 17:30:00,NA,"Standard"
"Udinese",403703,44,"BlockedShot",0.948000030517578,0.674000015258789,0.0320339575409889,"Tolgay Arslan","h",4348,"OpenPlay",2020,"LeftFoot",15635,"Verona",2,0,2021-02-07 14:00:00,"Jens Stryger Larsen","Cross"
"Udinese",403692,9,"BlockedShot",0.75,0.469000015258789,0.0179448369890451,"Walace","h",5226,"OpenPlay",2020,"RightFoot",15635,"Verona",2,0,2021-02-07 14:00:00,"Marvin Zeegelaar","Pass"
"Udinese",422390,75,"MissedShots",0.72,0.641999969482422,0.0164196155965328,"Fernando Forestieri","h",1030,"OpenPlay",2020,"RightFoot",15793,"Sampdoria",0,1,2021-05-16 13:00:00,"Fernando Llorente","Pass"
"Udinese",398293,3,"SavedShot",0.781999969482422,0.362999992370605,0.0125208320096135,"Nahuel Molina","h",8963,"OpenPlay",2020,"RightFoot",15594,"Napoli",1,2,2021-01-10 14:00:00,"Rolando Mandragora","Chipped"
"Udinese",399876,66,"BlockedShot",0.86,0.327000007629395,0.033444058150053,"Rafael Toloi","a",1484,"FromCorner",2020,"RightFoot",15524,"Atalanta",1,1,2021-01-20 16:00:00,NA,"None"
"Udinese",419272,26,"BlockedShot",0.740999984741211,0.36,0.0168009512126446,"Rodrigo Bentancur","a",6108,"OpenPlay",2020,"LeftFoot",15762,"Juventus",1,2,2021-05-02 16:00:00,"Juan Cuadrado","Pass"
"Udinese",416542,14,"BlockedShot",0.750999984741211,0.45,0.0178302749991417,"Walace","h",5226,"OpenPlay",2020,"RightFoot",15738,"Cagliari",0,1,2021-04-21 18:45:00,"Fernando Forestieri","Pass"
"Udinese",384909,10,"MissedShots",0.719000015258789,0.684000015258789,0.0136015210300684,"Samir","h",1142,"OpenPlay",2020,"LeftFoot",15484,"AC Milan",1,2,2020-11-01 11:30:00,"Rodrigo de Paul","Pass"
"Udinese",392584,70,"BlockedShot",0.961999969482422,0.646999969482422,0.0958077237010002,"Ignacio Pussetto","h",6997,"OpenPlay",2020,"RightFoot",15544,"Crotone",0,0,2020-12-15 17:30:00,NA,"TakeOn"
"Udinese",414092,78,"MissedShots",0.913000030517578,0.474000015258789,0.0830405056476593,"Armando Izzo","a",1096,"FromCorner",2020,"Head",15725,"Torino",0,1,2021-04-10 18:45:00,"Simone Verdi","Cross"
"Udinese",380802,58,"MissedShots",0.896999969482422,0.505999984741211,0.0916793644428253,"Edin Dzeko","a",1253,"SetPiece",2020,"Head",15449,"Roma",0,1,2020-10-03 18:45:00,"Lorenzo Pellegrini","Cross"
"Udinese",380100,90,"SavedShot",0.739000015258789,0.66,0.0166929587721825,"Thomas Ouwejan","h",8922,"OpenPlay",2020,"LeftFoot",14134,"Spezia",0,2,2020-09-30 16:00:00,"Rodrigo de Paul","Pass"
"Udinese",419896,9,"MissedShots",0.79,0.557000007629395,0.0375907234847546,"Tolgay Arslan","h",4348,"OpenPlay",2020,"RightFoot",15767,"Bologna",1,1,2021-05-08 13:00:00,"Bram Nuytinck","Pass"
"Udinese",419278,47,"BlockedShot",0.700999984741211,0.474000015258789,0.0201468504965305,"Rodrigo de Paul","h",1145,"OpenPlay",2020,"RightFoot",15762,"Juventus",1,2,2021-05-02 16:00:00,"Bram Nuytinck","Pass"
"Udinese",419907,37,"MissedShots",0.755999984741211,0.382999992370605,0.0224923919886351,"Musa Barrow","a",6512,"OpenPlay",2020,"RightFoot",15767,"Bologna",1,1,2021-05-08 13:00:00,"Roberto Soriano","Pass"
"Udinese",414071,2,"MissedShots",0.908000030517578,0.819000015258789,0.0171240102499723,"Simone Verdi","a",1445,"FromCorner",2020,"LeftFoot",15725,"Torino",0,1,2021-04-10 18:45:00,"Cristian Ansaldi","HeadPass"
"Udinese",388114,58,"MissedShots",0.905999984741211,0.681999969482422,0.0495823882520199,"Luca Pellegrini","a",4970,"OpenPlay",2020,"LeftFoot",15504,"Genoa",1,0,2020-11-22 17:00:00,"Milan Badelj","Chipped"
"Udinese",398296,6,"MissedShots",0.88,0.282000007629395,0.0588174760341644,"Rodrigo de Paul","h",1145,"OpenPlay",2020,"RightFoot",15594,"Napoli",1,2,2021-01-10 14:00:00,NA,"TakeOn"
"Udinese",380097,76,"MissedShots",0.686999969482422,0.535999984741211,0.0133127328008413,"Rodrigo de Paul","h",1145,"OpenPlay",2020,"RightFoot",14134,"Spezia",0,2,2020-09-30 16:00:00,"Fernando Forestieri","Pass"
"Udinese",398307,44,"SavedShot",0.883000030517578,0.637000007629395,0.501027166843414,"Jens Stryger Larsen","h",6262,"OpenPlay",2020,"LeftFoot",15594,"Napoli",1,2,2021-01-10 14:00:00,NA,"BlockedPass"
"Udinese",382751,85,"BlockedShot",0.798000030517578,0.545999984741211,0.0249523799866438,"Simon Sohm","a",9029,"OpenPlay",2020,"RightFoot",15463,"Parma Calcio 1913",3,2,2020-10-18 16:00:00,"Juraj Kucka","TakeOn"
"Udinese",414084,51,"SavedShot",0.741999969482422,0.67,0.0171757936477661,"Walace","h",5226,"FromCorner",2020,"RightFoot",15725,"Torino",0,1,2021-04-10 18:45:00,"Tolgay Arslan","Pass"
